,alpha,mean,std
0,0.1,0.9722171382984882,0.012518586624888308
1,0.13503140378698733,0.9647601693902329,0.009362974321949142
2,0.18233480008684413,0.9362831077245494,0.01463063502968557
3,0.24620924014946255,0.9006586117129816,0.015044232814054747
4,0.33245979322709407,0.876117508620007,0.01008402525381092
5,0.44892512582186056,0.8242606420672003,0.013750595045574092
6,0.6061898993497572,0.7696042919718569,0.011121111839878255
7,0.8185467307069026,0.7085880885770306,0.013195508543167624
8,1.1052951411260215,0.6453040606069813,0.012240865752571557
9,1.4924955450518291,0.5538950306262174,0.009691601899136941
10,2.015337685941733,0.45751399352528965,0.007374181666806095
11,2.721338768375307,0.38741669904499243,0.004521897679254923
12,3.674661940736688,0.30240437525466757,0.0018554169332962495
13,4.961947603002903,0.23055766126455315,0.003207929422047014
14,6.700187503509587,0.17991161244702883,0.0025790471376564575
15,9.047357242349298,0.13117551732270427,0.0010081591731877916
16,12.216773489967919,0.09551031495318053,0.0010891944329245646
17,16.496480740980207,0.0737545698611379,0.0008850470591999136
18,22.275429519995566,0.05415679439589668,0.0008773404107801884
19,30.07882518043099,0.039061617697878005,0.0006351597825761214
20,40.615859883769794,0.029697741466852723,0.0002641834679785018
21,54.84416576121015,0.022393841564038668,0.00037251128610468477
22,74.05684692262435,0.01614638972437426,0.00019871323011252912
23,100.0,0.012136438905447187,0.0001832639414548467
