# # eps log(1/eps), difference_hub
1.151292546497023004e-04,9.049071654221307881e-07
1.282302361186338517e-04,1.009053648748370335e-06
1.428066894647301416e-04,1.125037297766695588e-06
1.590226695164759338e-04,1.254171377196300341e-06
1.770601767174538913e-04,1.397924324186838874e-06
1.971210784359363742e-04,1.557926110562490862e-06
2.194292299835728379e-04,1.735971025706994908e-06
2.442328152226197046e-04,1.934066851116966745e-06
2.718069284871281986e-04,2.154429790346412688e-06
3.024564215399198788e-04,2.399505056649431367e-06
3.365190414427651484e-04,2.672021860439244278e-06
3.743688875404364673e-04,2.974984975145922306e-06
4.164202182584614623e-04,3.311729404931185172e-06
4.631316410969911761e-04,3.685942248088380779e-06
5.150107220759764758e-04,4.101705452397297336e-06
5.726190539553686161e-04,4.563524428236043207e-06
6.365778258221795613e-04,5.076396312198028227e-06
7.075739401059229824e-04,5.645827739320097294e-06
7.863667267542394021e-04,6.277913785268651736e-06
8.737953081673246851e-04,6.979374592708253999e-06
9.707866725445547275e-04,7.757644408967756533e-06
1.078364517526029468e-03,8.620915937451734123e-06
1.197658930395479509e-03,9.578237689877866501e-06
1.329916975621505890e-03,1.063957980784735469e-05
1.476514265114336252e-03,1.181594304167088438e-05
1.638967591216757263e-03,1.311945140880510507e-05
1.818948707068775194e-03,1.456345690176163998e-05
2.018299343507769846e-03,1.616267073778487884e-05
2.239047555992051530e-03,1.793329144927913177e-05
2.483425499045749645e-03,1.989314221950699846e-05
2.753888729269510140e-03,2.206183929498450880e-05
3.053137140865440011e-03,2.446095897989941648e-05
3.384137639669441717e-03,2.711422397527751826e-05
3.750148662608230460e-03,3.004771797843197589e-05
4.154746648989266801e-03,3.329009704766683342e-05
4.601854567715463890e-03,3.687286793763178139e-05
5.095772599948005487e-03,4.083061303594703872e-05
5.641211069391742494e-03,4.520133389873670637e-05
6.243325701623087844e-03,5.002675221210672873e-05
6.907755278982136669e-03,5.535268950773719610e-05
