# # epsilons, difference_hub
1.000000000000000082e-05,9.049071654221307881e-07
1.125335582600764634e-05,1.009053648748370335e-06
1.266380173467402173e-05,1.125037297766695588e-06
1.425102670302999301e-05,1.254171377196300341e-06
1.603718743751331087e-05,1.397924324186838874e-06
1.804721766827170097e-05,1.557926110562490862e-06
2.030917620904734816e-05,1.735971025706994908e-06
2.285463864134988516e-05,1.934066851116966745e-06
2.571913809059347009e-05,2.154429790346412688e-06
2.894266124716751731e-05,2.399505056649431367e-06
3.257020655659782988e-05,2.672021860439244278e-06
3.665241237079626321e-05,2.974984975145922306e-06
4.124626382901347725e-05,3.311729404931185172e-06
4.641588833612781789e-05,3.685942248088380779e-06
5.223345074266843603e-05,4.101705452397297336e-06
5.878016072274911818e-05,4.563524428236043207e-06
6.614740641230145183e-05,5.076396312198028227e-06
7.443803013251695940e-05,5.645827739320097294e-06
8.376776400682923638e-05,6.277913785268651736e-06
9.426684551178853488e-05,6.979374592708253999e-06
1.060818355139448306e-04,7.757644408967756533e-06
1.193776641714435703e-04,8.620915937451734123e-06
1.343399332598899977e-04,9.578237689877866501e-06
1.511775070615662981e-04,1.063957980784735469e-05
1.701254279852589153e-04,1.181594304167088438e-05
1.914481976169957525e-04,1.311945140880510507e-05
2.154434690031882321e-04,1.456345690176163998e-05
2.424462017082328286e-04,1.616267073778487884e-05
2.728333376486769706e-04,1.793329144927913177e-05
3.070290629757849643e-04,1.989314221950699846e-05
3.455107294592218038e-04,2.206183929498450880e-05
3.888155180308085538e-04,2.446095897989941648e-05
4.375479375074184211e-04,2.711422397527751826e-05
4.923882631706741255e-04,3.004771797843197589e-05
5.541020330009491972e-04,3.329009704766683342e-05
6.235507341273912067e-04,3.687286793763178139e-05
7.017038286703822323e-04,4.083061303594703872e-05
7.896522868499724398e-04,4.520133389873670637e-05
8.886238162743407155e-04,5.002675221210672873e-05
1.000000000000000021e-03,5.535268950773719610e-05
